sha256,first_seen_utc,added_utc,malware_family,classification,source,source_reference,source_confidence,verification_evidence,status
457ed02b0a63ccf872e8459c91e2d1d6844a75414358849333f518cc538055b7,2026-09-25T06:45:47Z,2026-09-25T16:01:51Z,Macfinger information stealer,malicious,Daily-Threat-Intel / SANS Internet Storm Center,https://isc.sans.edu/diary.html?storyid=33368,high,SANS Internet Storm Center observed this Macfinger ClickFix payload hash in the current infection-chain report (x86_64 payload hash.),active
5a2242b862ef52fe7a08af596198412a7676c948bcd64a25ce5d2e6d4b35c6fb,2026-09-25T06:45:47Z,2026-09-25T16:01:51Z,Macfinger information stealer,malicious,Daily-Threat-Intel / SANS Internet Storm Center,https://isc.sans.edu/diary.html?storyid=33368,high,SANS Internet Storm Center observed this Macfinger ClickFix payload hash in the current infection-chain report (arm64 payload hash.),active
c6da028e0a8a25a35efa28ba508a556d1b53d1e61113c0aaebf31a49a5668912,2026-09-25T06:45:47Z,2026-09-25T16:01:51Z,Macfinger information stealer,malicious,Daily-Threat-Intel / SANS Internet Storm Center,https://isc.sans.edu/diary.html?storyid=33368,high,SANS Internet Storm Center observed this Macfinger ClickFix payload hash in the current infection-chain report (Shell-script loader hash.),active
